COUNTRY CODE;COMMON NAME;OFFICIAL NAME;REGION;SUB-REGION;INCOME;STATUS
AFG;Afghanistan;Islamic Republic of Afghanistan;Asia;Southern Asia;Low;Developing
ALB;Albania;Republic of Albania;Europe;Southern Europe;Upper-Middle;Developing
DZA;Algeria;People’s Democratic Republic of Algeria;Africa;Northern Africa;Upper-Middle;Developing
AND;Andorra;Principality of Andorra;Europe;Southern Europe;High;Developed
AGO;Angola;Republic of Angola;Africa;Middle Africa;Lower-Middle;Developing
ATG;Antigua and Barbuda;Antigua and Barbuda;Americas;Caribbean;High;Developed
ARG;Argentina;Argentine Republic;Americas;South America;Upper-Middle;Developing
ARM;Armenia;Republic of Armenia;Asia;Western Asia;Lower-Middle;Developing
AUS;Australia;Commonwealth of Australia;Oceania;Australia and New Zealand;High;Developed
AUT;Austria;Republic of Austria;Europe;Western Europe;High;Developed
AZE;Azerbaijan;Republic of Azerbaijan;Asia;Western Asia;Upper-Middle;Developing
BHS;Bahamas;Commonwealth of the Bahamas;Americas;Caribbean;High;Developed
BHR;Bahrain;Kingdom of Bahrain;Asia;Western Asia;High;Developed
BGD;Bangladesh;People's Republic of Bangladesh;Asia;Southern Asia;Lower-Middle;Developing
BRB;Barbados;Barbados;Americas;Caribbean;High;Developed
BLR;Belarus;Republic of Belarus;Europe;Eastern Europe;Upper-Middle;Developing
BEL;Belgium;Kingdom of Belgium;Europe;Western Europe;High;Developed
BLZ;Belize;Belize;Americas;Central America;Upper-Middle;Developing
BEN;Benin;Republic of Benin;Africa;Western Africa;Low;Developing
BTN;Bhutan;Kingdom of Bhutan;Asia;Southern Asia;Lower-Middle;Developing
BOL;Bolivia;Plurinational State of Bolivia;Americas;South America;Lower-Middle;Developing
BIH;Bosnia and Herzegovina;Bosnia and Herzegovina;Europe;Southern Europe;Upper-Middle;Developing
BWA;Botswana;Republic of Botswana;Africa;Southern Africa;Upper-Middle;Developing
BRA;Brazil;Federative Republic of Brazil;Americas;South America;Upper-Middle;Developing
BRN;Brunei;Brunei Darussalam;Asia;South-eastern Asia;High;Developed
BGR;Bulgaria;Republic of Bulgaria;Europe;Eastern Europe;Upper-Middle;Developing
BFA;Burkina Faso;Burkina Faso;Africa;Western Africa;Low;Developing
BDI;Burundi;Republic of Burundi;Africa;Eastern Africa;Low;Developing
CPV;Cabo Verde;Republic of Cabo Verde;Africa;Western Africa;Lower-Middle;Developing
KHM;Cambodia;Kingdom of Cambodia;Asia;South-eastern Asia;Lower-Middle;Developing
CMR;Cameroon;Republic of Cameroon;Africa;Middle Africa;Lower-Middle;Developing
CAN;Canada;Canada;Americas;North America;High;Developed
CAF;Central African Republic;Central African Republic;Africa;Middle Africa;Low;Developing
TCD;Chad;Republic of Chad;Africa;Middle Africa;Low;Developing
CHL;Chile;Republic of Chile;Americas;South America;High;Developed
CHN;China;People's Republic of China;Asia;Eastern Asia;Upper-Middle;Developing
COL;Colombia;Republic of Colombia;Americas;South America;Upper-Middle;Developing
COM;Comoros;Union of the Comoros;Africa;Eastern Africa;Low;Developing
COG;Congo;Republic of the Congo;Africa;Middle Africa;Lower-Middle;Developing
CRI;Costa Rica;Republic of Costa Rica;Americas;Central America;Upper-Middle;Developing
CIV;Côte d'Ivoire;Republic of Côte d'Ivoire;Africa;Western Africa;Lower-Middle;Developing
HRV;Croatia;Republic of Croatia;Europe;Southern Europe;Upper-Middle;Developing
CUB;Cuba;Republic of Cuba;Americas;Caribbean;Upper-Middle;Developing
CYP;Cyprus;Republic of Cyprus;Asia;Western Asia;High;Developed
CZE;Czechia;Czech Republic;Europe;Eastern Europe;High;Developed
COD;Democratic Republic of the Congo;Democratic Republic of the Congo;Africa;Middle Africa;Low;Developing
DNK;Denmark;Kingdom of Denmark;Europe;Northern Europe;High;Developed
DJI;Djibouti;Republic of Djibouti;Africa;Eastern Africa;Lower-Middle;Developing
DMA;Dominica;Commonwealth of Dominica;Americas;Caribbean;Upper-Middle;Developing
DOM;Dominican Republic;Dominican Republic;Americas;Caribbean;Upper-Middle;Developing
PRK;DPR Korea;Democratic People's Republic of Korea;Asia;Eastern Asia;Low;Developing
ECU;Ecuador;Republic of Ecuador;Americas;South America;Upper-Middle;Developing
EGY;Egypt;Arab Republic of Egypt;Africa;Northern Africa;Lower-Middle;Developing
