CÓDIGO PAÍS;NOME COMUM;NOME OFICIAL;REGIÃO;SUB-REGIÃO;RENDIMENTOS;ESTADO
AFG;Afeganistão;República Islâmica do Afeganistão;Ásia;Sul da Ásia;Baixo;Em desenvolvimento
ZAF;África do Sul;República da África do Sul;África;Sul de África;Alto-Médio;Em desenvolvimento
ALB;Albânia;República da Albânia;Europa;Sul da Europa;Alto-Médio;Em desenvolvimento
DEU;Alemanha;República Federal da Alemanha;Europa;Europa Ocidental;Alto;Desenvolvido
AND;Andorra;Principado de Andorra;Europa;Sul da Europa;Alto;Desenvolvido
AGO;Angola;República da Angola;África;África Central;Baixo-Médio;Em desenvolvimento
ATG;Antígua e Barbuda;Antígua e Barbuda;Américas;Caraíbas;Alto;Desenvolvido
SAU;Arábia Saudita;Reino da Arábia Saudita;Ásia;Sudoeste Asiático;Alto;Desenvolvido
DZA;Argélia;República Argelina Democrática e Popular;África;Norte de África;Alto-Médio;Em desenvolvimento
ARG;Argentina;República Argentina;Américas;América do Sul;Alto-Médio;Em desenvolvimento
ARM;Arménia;República da Arménia;Ásia;Sudoeste Asiático;Baixo-Médio;Em desenvolvimento
AUS;Austrália;Comunidade da Austrália;Oceânia;Austrália e Nova Zelândia;Alto;Desenvolvido
AUT;Áustria;República da Áustria;Europa;Europa Ocidental;Alto;Desenvolvido
AZE;Azerbaijão;República do Azerbaijão;Ásia;Sudoeste Asiático;Alto-Médio;Em desenvolvimento
BHS;Baamas;Comunidade das Baamas;Américas;Caraíbas;Alto;Desenvolvido
BGD;Bangladeche;República Popular do Bangladeche;Ásia;Sul da Ásia;Baixo-Médio;Em desenvolvimento
BRB;Barbados;Barbados;Américas;Caraíbas;Alto;Desenvolvido
BHR;Barém;Reino do Barém;Ásia;Sudoeste Asiático;Alto;Desenvolvido
BEL;Bélgica;Reino da Bélgica;Europa;Europa Ocidental;Alto;Desenvolvido
BLZ;Belize;Belize;Américas;América Central;Alto-Médio;Em desenvolvimento
BEN;Benim;República do Benim;África;África Ocidental;Baixo;Em desenvolvimento
BLR;Bielorrússia;República da Bielorrússia;Europa;Europa Oriental;Alto-Médio;Em desenvolvimento
MMR;Birmânia;Birmânia;Ásia;Sudeste Asiático;Baixo-Médio;Em desenvolvimento
