year,title,authors,countries,keywords,conference,doi,url,concepts,citations,downloads,abstract
2007,Advancing e-governance: connecting learning and action,"Dawes, Sharon S.",United States,actions; governance; improvement; innovation; learning; public management; public sector,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328059,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328059,E-Governance;Governance;E-Government;Government;Public sphere;Public administration,2,228,"Electronic Governance is defined in many ways, but all the definitions include an expectation of innovation and improvement in the public sphere. Innovation entails experimentation and risk. Improvement requires deep understanding of the context of government, as well as new tools and new ways of working. Accordingly, advancing electronic governance demands both learning and action. This talk will focus on ways to conceptualize, operationalize, and capitalize on ways to link research and practice in a shared and mutually rewarding enterprise aimed at better public management and better governance."
2007,An overview of the implementation of e-government program in Nigeria,"Agunloye, Olu",Nigeria,e-government implementation; e-government solution model; e-readiness; framework; government establishment; integration platform; partnership,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328060,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328060,E-Government;Computer program;Financial institution;Government;Public sector;Partnership,0,345,"e-Government implementation framework has been established in Nigeria and is being executed in four phases. Over the last three years and particular now at the stage of full roll-out of e-Government solutions, e-Readiness capacities are being built within the public service at the Federal, State and Local Government tiers as well as within the Private Sector, especially the banking and financial institutions and also within professional associations and groups. This paper describes the adopted e-Government model, its implementation strategy and platform for integration as well as the reinforcing roles of various Government establishments. It also describes the multiple partnerships with financial institutions and technical solution providers that lead to development of e-Government programs in Ministries, Departments and Agencies, under the basic guidelines and deployment of citizen-centric e-Government solutions."
2007,E-government global readiness report 2008 from e-government to knowledge management,"Bertucci, Guido",United States,it planning; citizens; data mining; data security; governments; human resources; leadership; physical infrastructures; privacy issues; public sector; public value; strategy; training and retraining; vision,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328061,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328061,E-Government;Globalization;Knowledge management;Public value;Transparency (behavior);Information privacy;Electronic business;Public sector,0,526,"ICTs can help reinvent government in such a way that existing institutional arrangements can be restructured and new innovative arrangements can flourish, paving the way for a transformed government. This supposedly transformed government is more responsive to the needs of citizens and businesses, more efficient, more transparent and participatory. The questions that arise then are what is the implementation pace of e-government initiatives around the world and how can the real needs of citizens be met. The UN Global E-Government Readiness Report, 2008, seeks to provide answers to these questions by quantitatively assessing the strengths and weaknesses in e-government initiatives worldwide. The 2008 Report deals with these issues from the perspective of leveraging the knowledge of public organizations, since knowledge management has the potential to improve the electronic provision of services. In their effort to provide public value to citizens, governments throughout the world face a number of challenges. Such challenges range from thoughtful IT planning, providing finance and adequate physical infrastructures in a rapidly changing technological environment, confronting problems related to existing IT infrastructure, reducing the operational cost structure of services that they provide, retaining and retraining staff, leadership and other human resources issues, data mining issues and providing for the adequate protection of data, and security and privacy issues. E-government provides a vision and a strategy for addressing these challenges and for creating an environment for the transformation of government activities by applying ebusiness methods on the public sector."
2007,Technological foundations of electronic governance,"Davies, Jim; Janowski, Tomasz; Ojo, Adegboyega; Shukla, Aadya",United Kingdom; Macao; Macao; United Kingdom,e-governance; formal techniques,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328063,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328063,,3,499,"This paper explores the relevance and opportunities for the application of mature Formal Techniques - techniques based on mathematical theories and supported by industry-ready tools and methods - to build technical solutions for Electronic Governance. The paper proceeds in four steps: (1) establishes the basic need for Formal Techniques in Electronic Governance, (2) identifies the challenges peculiar to Electronic Governance development, (3) presents the salient features and various application scenarios for Formal Techniques in general, and (4) carries out a mapping between the challenges to Electronic Governance and various application scenarios of Formal Techniques as part of solutions to such challenges. In the second part, the paper presents an overview of the tutorial and workshop on Formal Engineering Methods for Electronic Governance. The tutorial follows the fourstep program, as above, and the workshop includes the presentations of four papers that exemplify various elements of the mapping, particularly: the use of formal, precise modeling techniques; the importance of security risk assessment; modeldriven development of software systems; and the provision of semantic frameworks to coordinate development within and across major programs and initiatives. In the last part, the paper discusses how Formal Techniques can contribute to establishing a solid foundation for Electronic Governance."
2007,Automatic generation of e-government forms from semantic descriptions,"Stadlhofer, Bernd; Salhofer, Peter",Austria; Austria,gea; owl; rdf; xforms; xsd; e-government; semantic web,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328064,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328064,E-Government;Semantics;Semantic Web Services;Resource Description Framework;Semantic Web;Business rule;Ontology;Public administration,3,395,"Currently there are numerous initiatives for applying Semantic Web technologies to e-Government. Most of these efforts concentrate on the definition, discovery, orchestration and execution of Semantic Web services. The focus is thereby often on system-to-system communication and less on human-computer interaction. In this paper we present a way to generate web-forms out of an existing semantic description. The core difference to most of the existing similar approaches is that our semantic description does not focus on web-service description: it simply utilizes Semantic Web technologies to provide a logic description of Public Administration Services and relevant parts of the e-Government domain. The idea is to automatically identify relevant input for a Public Administration Service based on the semantic description of the service and its business rules that must be applied to create the particular results. According to the relevant input a web-form is generated to gather the needed information from the citizen. This input is interactively checked against the procedure's business rules. If the provided data is correct and conforms to the ontology's restriction, the data, represented as XML and RDF, can be consumed by any application supporting the data interchange standard including Semantic Web services."
2007,Formal support for e-government system design with transparency consideration,"Chen, Xiaoyi; Kong, Weiqiang; Futatsugi, Kokichi",Japan; Japan; Japan,domain engineering; formal methods; license language; public administration; the ots/cafeobj method,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328065,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328065,,0,321,"In this paper, we introduce formal methods into the field of e-Government (or public administration) for formalizing e-Government system design, trying to extract a formal definition of transparency in public administration from former studies on transparency, and analyzing if the design of e-Government systems satisfies transparency related properties. Another contribution made in this paper is that we propose a digital right management license language (Public Administration License Language, called PALL as well) for e-Government systems, especially for using it to guarantee the transparency related properties in e-Government system design. Classical digital right license languages are applied to electronic ""downloading"", payment and rendering of artistic works, while we extend the concept of license to cover work authorization in public government. The digital works are public government documents in this context. As digital right license for artistic works seeks to safeguard against privacy and to ensure proper payment for the rights to render these works, PALL seeks to ensure transparent and professional ""good governance""."
2007,Semantic frameworks for e-government,"Crichton, Charles; Davies, Jim; Gibbons, Jeremy; Harris, Steve; Shukla, Aadya",United Kingdom; United Kingdom; United Kingdom; United Kingdom; United Kingdom,metadata; model-driven; ontology; semantic web,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328066,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328066,,6,650,"This paper explains how semantic frameworks can be used to support successful e-Government initiatives by connecting system design to a shared understanding of interactions and processes. It shows how metadata standards and repositories can be used to establish and maintain such an understanding, and how they can be used in the automatic generation and instantiation of components and services. It includes an account of a successful implementation at an international level, and a brief review of related approaches."
2007,Formal threat descriptions for enhancing governmental risk assessment,"Ekelhart, Andreas; Fenz, Stefan; Neubauer, Thomas; Weippl, Edgar",Austria; Austria; Austria; Austria,formal threat descriptions; inventory; security ontology,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328067,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328067,,1,589,"Compared to the last decades, we have recently seen more and more governmental applications which are provided via the Internet directly to the citizens. Due to the long history of IT systems in the governmental sector and the connection of these legacy systems to newer technologies, most governmental institutions are faced with a heterogeneous IT environment. More and more governmental duties and responsibilities rely solely on IT systems which have to be highly dependable to ensure the proper operation of these governmental services. An increasing amount of software vulnerabilities and the generally heightened physical threat level due to terror attacks and natural disasters demand for a holistic IT security approach which captures, manages, and secures the entire governmental IT infrastructure. Our contribution is (1) a novel inventory solution, (2) a mechanism to embed the virtual IT infrastructure data into a physical model provided by our security ontology, and (3) a methodology to automatically identify threatened assets and to reason on the current security status based on formal threat definitions taking software configurations and physical locations into account. A prototypical implementation of the aforementioned concepts shows how these concepts help governmental institutions to secure their IT infrastructure in a holistic and systematic way to fortify their IT systems in an appropriate way against current and future threats."
2007,Interoperability for electronic governance,"Janssen, Marijn; Scholl, Hans J. (Jochen)",The Netherlands; United States,enterprise architecture; governance; integration; interoperability; interoperation; service-oriented architecture; web services,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328069,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328069,E-Government;Interoperability;Governance;Collaboration;Service-oriented architecture;Web service;Business process,5,691,"Departments and institutions collaborate and interoperate in processes crossing their organizational boundaries. A basic prerequisite for collaboration is interoperability, which can be defined as the ability of systems to work together with other systems. The building of interoperable system requires considering governance, organizational, strategic, social and technical issues. This tutorial and workshop is aimed at contributing to the understanding of the scope of the issues involved in e-government interoperability and solutions to address them. Interoperability has been improved at the technical level by the introduction of service-oriented architecture and web services technology, however, many research questions remain open at the semantic and pragmatic levels. Interoperation and integration also require many other aspects, which might be harder to establish than the technical underpinnings. At least, the governance of the architecture of the many organizations collaborating with each other is needed to improve interoperability."
2007,SORIG: a service-oriented framework for rural information grid -- an implementation viewpoint,"Patra, Manas Ranjan; Das, Rama Krushna",India; India,e-governance; rural information services; service-oriented architecture,Proceedings of the 1st international conference on Theory and practice of electronic governance,10.1145/1328057.1328070,http://dl.acm.org/citation.cfm?preflayout=flat&doid=1328057.1328070,Service-oriented architecture;Grid computing;Software framework;Rural area;Scalability;Information needs,2,330,"In this paper, we describe a project called SORIG (Service-Oriented Framework for Rural Information Grid) which has been undertaken specifically to address the information needs of the rural population of India. The novelty of this project is that it is geared towards integrating several existing systems built on heterogeneous platforms and operating environments under different administrative zones. In order to provide a user-centric view of the information resources and address the issue of scalability of the system, the Service-Oriented Architecture (SOA) has been used. The project aims at providing ""one-stop"" access to various information resources for the benefit of the rural community that constitutes the largest section of the Indian population. The paper focuses on the implementation details and also discusses about several services that are available at the moment to the rural mass."
